,Assessor Neighborhood,Assessed Land Value,Closed Roll Year
781,Balboa Terrace,507151.78,2016
782,Bayview,275866.28,2016
783,Bayview Heights,180043.92,2016
784,Bernal Heights,324871.45,2016
785,Buena Vista Park,564796.08,2016
786,Central Richmond,359061.41,2016
787,Central Sunset,297200.17,2016
788,Clarendon Heights,592164.11,2016
789,Corona Heights,449347.92,2016
790,Cow Hollow,717956.31,2016
791,Croker Amazon,221071.27,2016
792,Diamond Heights,313987.93,2016
793,Downtown,457311.46,2016
794,Duboce Triangle,536320.38,2016
795,Eureka Valley/Dolores Heights,535677.56,2016
796,Excelsior,214011.14,2016
797,Financial District North,4339056.99,2016
798,Financial District South,1470701.89,2016
799,Forest Hill,548114.04,2016
800,Forest Hill Extension,380787.75,2016
801,Forest Knolls,458681.98,2016
802,Glen Park,384803.53,2016
803,Golden Gate Heights,341101.3,2016
804,Haight Ashbury,440229.36,2016
805,Hayes Valley,471214.69,2016
806,Hunters Point,213390.39,2016
807,Ingleside,210880.31,2016
808,Ingleside Heights,224515.85,2016
809,Ingleside Terrace,384685.43,2016
810,Inner Mission,409024.61,2016
811,Inner Parkside,335500.21,2016
812,Inner Richmond,400669.67,2016
813,Inner Sunset,344436.31,2016
814,Jordan Park/Laurel Heights,604172.49,2016
815,Lake --The Presidio,525258.77,2016
816,Lake Shore,405115.56,2016
817,Lakeside,369987.62,2016
818,Lone Mountain,382272.37,2016
819,Lower Pacific Heights,467876.81,2016
820,Marina,682746.05,2016
821,Merced Heights,218960.3,2016
822,Merced Manor,411291.28,2016
823,Midtown Terrace,301071.06,2016
824,Miraloma Park,340174.76,2016
825,Mission Bay,787160.11,2016
826,Mission Dolores,412155.6,2016
827,Mission Terrace,245679.1,2016
828,Monterey Heights,577747.37,2016
829,Mount Davidson Manor,347610.47,2016
830,Nob Hill,586126.28,2016
831,Noe Valley,498960.25,2016
832,North Beach,463071.91,2016
833,North Waterfront,1007685.77,2016
834,Oceanview,219116.43,2016
835,Outer Mission,211233.89,2016
836,Outer Parkside,253623.41,2016
837,Outer Richmond,328192.75,2016
838,Outer Sunset,262113.11,2016
839,Pacific Heights,987893.56,2016
840,Park North,440789.1,2016
841,Parkside,275542.71,2016
842,Parnassus/Ashbury Heights,556570.37,2016
843,Pine Lake Park,353511.21,2016
844,Portola,219848.72,2016
845,Potrero Hill,461504.52,2016
846,Presidio Heights,1397364.25,2016
847,Russian Hill,452017.91,2016
848,Sea Cliff,1265560.92,2016
849,Sherwood Forest,429419.43,2016
850,Silver Terrace,180875.19,2016
851,South Beach,851302.53,2016
852,South of Market,773699.75,2016
853,St. Francis Wood,776783.94,2016
854,Stonestown,1553429.62,2016
855,Sunnyside,271672.85,2016
856,Telegraph Hill,561042.42,2016
857,Twin Peaks,406010.93,2016
858,Union Square,941651.28,2016
859,Van Ness/ Civic Center,395237.05,2016
860,Visitacion Valley,187287.21,2016
861,West Portal,410791.36,2016
862,Western Addition,418485.93,2016
863,Westwood Highlands,386926.32,2016
864,Westwood Park,315942.5,2016
865,Yerba Buena,274653.41,2016
