,Assessor Neighborhood,Closed Roll Year,Assessed Land Value,Pct Change,Region Type,Data Type,dollars
356,Western Addition,2015,438925.6828,0,neighborhood,All Homes,"$3,426 "
357,Western Addition,2016,469037.6842,0,neighborhood,All Homes,"$3,698 "
358,Westwood Highlands,2011,310130.9982,0,neighborhood,All Homes,"$2,838 "
359,Westwood Highlands,2012,320309.2847,0,neighborhood,All Homes,"$3,138 "
360,Westwood Highlands,2013,329153.0037,0,neighborhood,All Homes,"$3,653 "
361,Westwood Highlands,2014,344339.6292,0,neighborhood,All Homes,"$3,978 "
362,Westwood Highlands,2015,369263.393,0,neighborhood,All Homes,"$4,552 "
363,Westwood Highlands,2016,386926.3173,0,neighborhood,All Homes,"$4,588 "
364,Westwood Park,2011,232168.2817,0,neighborhood,All Homes,"$3,203 "
365,Westwood Park,2012,248945.3255,0,neighborhood,All Homes,"$3,161 "
366,Westwood Park,2013,254389.3036,0,neighborhood,All Homes,"$3,128 "
367,Westwood Park,2014,272476.9565,0,neighborhood,All Homes,"$3,780 "
368,Westwood Park,2015,287522.1783,0,neighborhood,All Homes,"$4,595 "
369,Westwood Park,2016,315942.4961,0,neighborhood,All Homes,"$4,840 "
